id,name,region,sub_region,population,community,community_label
1,Afghanistan,Asia,Southern Asia,,,
2,Åland Islands,Europe,Northern Europe,,,
3,Albania,Europe,Southern Europe,,,
4,Algeria,Africa,Northern Africa,,,
5,American Samoa,Oceania,Polynesia,,,
6,Andorra,Europe,Southern Europe,,,
7,Angola,Africa,Sub-Saharan Africa,,,
8,Anguilla,Americas,Latin America and the Caribbean,,,
9,Antarctica,,,,,
10,Antigua and Barbuda,Americas,Latin America and the Caribbean,,,
11,Argentina,Americas,Latin America and the Caribbean,,,
12,Armenia,Asia,Western Asia,,,
13,Aruba,Americas,Latin America and the Caribbean,,,
14,Australia,Oceania,Australia and New Zealand,271,6,Oceania
15,Austria,Europe,Western Europe,67,1,Central Europe & Beyond
16,Azerbaijan,Asia,Western Asia,,,
17,Bahamas,Americas,Latin America and the Caribbean,,,
18,Bahrain,Asia,Western Asia,,,
19,Bangladesh,Asia,Southern Asia,,,
20,Barbados,Americas,Latin America and the Caribbean,,,
21,Belarus,Europe,Eastern Europe,,,
22,Belgium,Europe,Western Europe,55,3,Western Europe
23,Belize,Americas,Latin America and the Caribbean,,,
24,Benin,Africa,Sub-Saharan Africa,,,
25,Bermuda,Americas,Northern America,,,
26,Bhutan,Asia,Southern Asia,,,
27,Bolivia,Americas,Latin America and the Caribbean,,,
28,Bonaire,Americas,Latin America and the Caribbean,,,
29,Bosnia and Herzegovina,Europe,Southern Europe,,,
30,Botswana,Africa,Sub-Saharan Africa,,,
31,Bouvet Island,Americas,Latin America and the Caribbean,,,
32,Brazil,Americas,Latin America and the Caribbean,78,9,Brazil
33,British Indian Ocean Territory,Africa,Sub-Saharan Africa,,,
34,Brunei Darussalam,Asia,South-eastern Asia,,,
35,Bulgaria,Europe,Eastern Europe,34,4,Balkans
36,Burkina Faso,Africa,Sub-Saharan Africa,,,
37,Burundi,Africa,Sub-Saharan Africa,,,
38,Cabo Verde,Africa,Sub-Saharan Africa,,,
39,Cambodia,Asia,South-eastern Asia,,,
40,Cameroon,Africa,Sub-Saharan Africa,,,
41,Canada,Americas,Northern America,385,2,North America & Nordics
42,Cayman Islands,Americas,Latin America and the Caribbean,,,
43,Central African Republic,Africa,Sub-Saharan Africa,,,
44,Chad,Africa,Sub-Saharan Africa,,,
45,Chile,Americas,Latin America and the Caribbean,30,10,Chile
46,China,Asia,Eastern Asia,,,
47,Christmas Island,Oceania,Australia and New Zealand,,,
48,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,,,
49,Colombia,Americas,Latin America and the Caribbean,,,
50,Comoros,Africa,Sub-Saharan Africa,,,
51,Congo,Africa,Sub-Saharan Africa,,,
52,Congo,Africa,Sub-Saharan Africa,,,
53,Cook Islands,Oceania,Polynesia,,,
54,Costa Rica,Americas,Latin America and the Caribbean,,,
55,Côte d'Ivoire,Africa,Sub-Saharan Africa,,,
56,Croatia,Europe,Southern Europe,23,4,Balkans
57,Cuba,Americas,Latin America and the Caribbean,,,
58,Curaçao,Americas,Latin America and the Caribbean,,,
59,Cyprus,Asia,Western Asia,,,
60,Czechia,Europe,Eastern Europe,277,1,Central Europe & Beyond
61,Denmark,Europe,Northern Europe,46,2,North America & Nordics
62,Djibouti,Africa,Sub-Saharan Africa,,,
63,Dominica,Americas,Latin America and the Caribbean,,,
64,Dominican Republic,Americas,Latin America and the Caribbean,,,
65,Ecuador,Americas,Latin America and the Caribbean,,,
66,Egypt,Africa,Northern Africa,,,
67,El Salvador,Americas,Latin America and the Caribbean,,,
68,Equatorial Guinea,Africa,Sub-Saharan Africa,,,
69,Eritrea,Africa,Sub-Saharan Africa,,,
70,Estonia,Europe,Northern Europe,,,
71,Eswatini,Africa,Sub-Saharan Africa,,,
72,Ethiopia,Africa,Sub-Saharan Africa,,,
73,Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,,,
74,Faroe Islands,Europe,Northern Europe,,,
75,Fiji,Oceania,Melanesia,,,
76,Finland,Europe,Northern Europe,116,2,North America & Nordics
77,France,Europe,Western Europe,161,3,Western Europe
78,French Guiana,Americas,Latin America and the Caribbean,,,
79,French Polynesia,Oceania,Polynesia,,,
80,French Southern Territories,Africa,Sub-Saharan Africa,,,
81,Gabon,Africa,Sub-Saharan Africa,,,
82,Gambia,Africa,Sub-Saharan Africa,,,
83,Georgia,Asia,Western Asia,,,
84,Germany,Europe,Western Europe,306,1,Central Europe & Beyond
85,Ghana,Africa,Sub-Saharan Africa,,,
86,Gibraltar,Europe,Southern Europe,,,
87,Greece,Europe,Southern Europe,42,4,Balkans
88,Greenland,Americas,Northern America,,,
89,Grenada,Americas,Latin America and the Caribbean,,,
90,Guadeloupe,Americas,Latin America and the Caribbean,,,
91,Guam,Oceania,Micronesia,,,
92,Guatemala,Americas,Latin America and the Caribbean,,,
93,Guernsey,Europe,Northern Europe,,,
94,Guinea,Africa,Sub-Saharan Africa,,,
95,Guinea-Bissau,Africa,Sub-Saharan Africa,,,
96,Guyana,Americas,Latin America and the Caribbean,,,
97,Haiti,Americas,Latin America and the Caribbean,,,
98,Heard Island and McDonald Islands,Oceania,Australia and New Zealand,,,
99,Holy See,Europe,Southern Europe,,,
100,Honduras,Americas,Latin America and the Caribbean,,,
101,Hong Kong,Asia,Eastern Asia,28,1,Central Europe & Beyond
102,Hungary,Europe,Eastern Europe,81,1,Central Europe & Beyond
103,Iceland,Europe,Northern Europe,18,2,North America & Nordics
104,India,Asia,Southern Asia,,,
105,Indonesia,Asia,South-eastern Asia,26,11,Indonesia
106,Iran,Asia,Southern Asia,,,
107,Iraq,Asia,Western Asia,,,
108,Ireland,Europe,Northern Europe,62,2,North America & Nordics
109,Isle of Man,Europe,Northern Europe,,,
110,Israel,Asia,Western Asia,12,1,Central Europe & Beyond
111,Italy,Europe,Southern Europe,450,1,Central Europe & Beyond
112,Jamaica,Americas,Latin America and the Caribbean,,,
113,Japan,Asia,Eastern Asia,,,
114,Jersey,Europe,Northern Europe,,,
115,Jordan,Asia,Western Asia,,,
116,Kazakhstan,Asia,Central Asia,35,7,Eurasia
117,Kenya,Africa,Sub-Saharan Africa,,,
118,Kiribati,Oceania,Micronesia,,,
119,North Korea,Asia,Eastern Asia,,,
120,South Korea,Asia,Eastern Asia,21,5,East Asia
121,Kuwait,Asia,Western Asia,,,
122,Kyrgyzstan,Asia,Central Asia,,,
123,Lao People's Democratic Republic,Asia,South-eastern Asia,,,
124,Latvia,Europe,Northern Europe,33,8,Baltics
125,Lebanon,Asia,Western Asia,,,
126,Lesotho,Africa,Sub-Saharan Africa,,,
127,Liberia,Africa,Sub-Saharan Africa,,,
128,Libya,Africa,Northern Africa,,,
129,Liechtenstein,Europe,Western Europe,,,
130,Lithuania,Europe,Northern Europe,28,8,Baltics
131,Luxembourg,Europe,Western Europe,,,
132,Macao,Asia,Eastern Asia,,,
133,Madagascar,Africa,Sub-Saharan Africa,,,
134,Malawi,Africa,Sub-Saharan Africa,,,
135,Malaysia,Asia,South-eastern Asia,,,
136,Maldives,Asia,Southern Asia,,,
137,Mali,Africa,Sub-Saharan Africa,,,
138,Malta,Europe,Southern Europe,,,
139,Marshall Islands,Oceania,Micronesia,,,
140,Martinique,Americas,Latin America and the Caribbean,,,
141,Mauritania,Africa,Sub-Saharan Africa,,,
142,Mauritius,Africa,Sub-Saharan Africa,,,
143,Mayotte,Africa,Sub-Saharan Africa,,,
144,Mexico,Americas,Latin America and the Caribbean,27,2,North America & Nordics
145,Micronesia,Oceania,Micronesia,,,
146,Moldova,Europe,Eastern Europe,,,
147,Monaco,Europe,Western Europe,,,
148,Mongolia,Asia,Eastern Asia,,,
149,Montenegro,Europe,Southern Europe,,,
150,Montserrat,Americas,Latin America and the Caribbean,,,
151,Morocco,Africa,Northern Africa,,,
152,Mozambique,Africa,Sub-Saharan Africa,,,
153,Myanmar,Asia,South-eastern Asia,,,
154,Namibia,Africa,Sub-Saharan Africa,,,
155,Nauru,Oceania,Micronesia,,,
156,Nepal,Asia,Southern Asia,,,
157,Netherlands,Europe,Western Europe,161,3,Western Europe
158,New Caledonia,Oceania,Melanesia,,,
159,New Zealand,Oceania,Australia and New Zealand,65,6,Oceania
160,Nicaragua,Americas,Latin America and the Caribbean,,,
161,Niger,Africa,Sub-Saharan Africa,,,
162,Nigeria,Africa,Sub-Saharan Africa,,,
163,Niue,Oceania,Polynesia,,,
164,Norfolk Island,Oceania,Australia and New Zealand,,,
165,North Macedonia,Europe,Southern Europe,,,
166,Northern Mariana Islands,Oceania,Micronesia,,,
167,Norway,Europe,Northern Europe,39,2,North America & Nordics
168,Oman,Asia,Western Asia,,,
169,Pakistan,Asia,Southern Asia,,,
170,Palau,Oceania,Micronesia,,,
171,Palestine,Asia,Western Asia,,,
172,Panama,Americas,Latin America and the Caribbean,,,
173,Papua New Guinea,Oceania,Melanesia,,,
174,Paraguay,Americas,Latin America and the Caribbean,,,
175,Peru,Americas,Latin America and the Caribbean,21,12,Peru
176,Philippines,Asia,South-eastern Asia,16,5,East Asia
177,Pitcairn,Oceania,Polynesia,,,
178,Poland,Europe,Eastern Europe,235,1,Central Europe & Beyond
179,Portugal,Europe,Southern Europe,,,
180,Puerto Rico,Americas,Latin America and the Caribbean,,,
181,Qatar,Asia,Western Asia,,,
182,Réunion,Africa,Sub-Saharan Africa,,,
183,Romania,Europe,Eastern Europe,58,4,Balkans
184,Russia,Europe,Eastern Europe,43,7,Eurasia
185,Rwanda,Africa,Sub-Saharan Africa,,,
186,Saint Barthélemy,Americas,Latin America and the Caribbean,,,
187,Saint Helena,Africa,Sub-Saharan Africa,,,
188,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,,,
189,Saint Lucia,Americas,Latin America and the Caribbean,,,
190,Saint Martin (French part),Americas,Latin America and the Caribbean,,,
191,Saint Pierre and Miquelon,Americas,Northern America,,,
192,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,,,
193,Samoa,Oceania,Polynesia,,,
194,San Marino,Europe,Southern Europe,,,
195,Sao Tome and Principe,Africa,Sub-Saharan Africa,,,
196,Saudi Arabia,Asia,Western Asia,,,
197,Senegal,Africa,Sub-Saharan Africa,,,
198,Serbia,Europe,Southern Europe,81,4,Balkans
199,Seychelles,Africa,Sub-Saharan Africa,,,
200,Sierra Leone,Africa,Sub-Saharan Africa,,,
201,Singapore,Asia,South-eastern Asia,,,
202,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,,,
203,Slovakia,Europe,Eastern Europe,125,1,Central Europe & Beyond
204,Slovenia,Europe,Southern Europe,,,
205,Solomon Islands,Oceania,Melanesia,,,
206,Somalia,Africa,Sub-Saharan Africa,,,
207,South Africa,Africa,Sub-Saharan Africa,,,
208,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean,,,
209,South Sudan,Africa,Sub-Saharan Africa,,,
210,Spain,Europe,Southern Europe,129,3,Western Europe
211,Sri Lanka,Asia,Southern Asia,,,
212,Sudan,Africa,Northern Africa,,,
213,Suriname,Americas,Latin America and the Caribbean,,,
214,Svalbard and Jan Mayen,Europe,Northern Europe,,,
215,Sweden,Europe,Northern Europe,154,2,North America & Nordics
216,Switzerland,Europe,Western Europe,61,3,Western Europe
217,Syrian Arab Republic,Asia,Western Asia,,,
218,Taiwan,,,33,5,East Asia
219,Tajikistan,Asia,Central Asia,,,
220,Tanzania,Africa,Sub-Saharan Africa,,,
221,Thailand,Asia,South-eastern Asia,,,
222,Timor-Leste,Asia,South-eastern Asia,,,
223,Togo,Africa,Sub-Saharan Africa,,,
224,Tokelau,Oceania,Polynesia,,,
225,Tonga,Oceania,Polynesia,,,
226,Trinidad and Tobago,Americas,Latin America and the Caribbean,,,
227,Tunisia,Africa,Northern Africa,,,
228,Turkey,Asia,Western Asia,,,
229,Turkmenistan,Asia,Central Asia,,,
230,Turks and Caicos Islands,Americas,Latin America and the Caribbean,,,
231,Tuvalu,Oceania,Polynesia,,,
232,Uganda,Africa,Sub-Saharan Africa,,,
233,Ukraine,Europe,Eastern Europe,11,1,Central Europe & Beyond
234,United Arab Emirates,Asia,Western Asia,,,
235,United Kingdom,Europe,Northern Europe,424,2,North America & Nordics
236,United States of America,Americas,Northern America,2600,2,North America & Nordics
237,United States Minor Outlying Islands,Oceania,Micronesia,,,
238,Uruguay,Americas,Latin America and the Caribbean,,,
239,Uzbekistan,Asia,Central Asia,,,
240,Vanuatu,Oceania,Melanesia,,,
241,Venezuela,Americas,Latin America and the Caribbean,,,
242,Viet Nam,Asia,South-eastern Asia,,,
243,Virgin Islands (British),Americas,Latin America and the Caribbean,,,
244,Virgin Islands (U.S.),Americas,Latin America and the Caribbean,,,
245,Wallis and Futuna,Oceania,Polynesia,,,
246,Western Sahara,Africa,Northern Africa,,,
247,Yemen,Asia,Western Asia,,,
248,Zambia,Africa,Sub-Saharan Africa,,,
249,Zimbabwe,Africa,Sub-Saharan Africa,,,
